344,1
1602,1
1351,2
333,1
1704,1
242,2
460,2
639,2
1244,2
1645,1
743,1
936,2
981,1
151,1
1570,1
1521,1
1580,2
791,1
1021,1
1588,1
1191,2
1650,1
1104,1
1352,2
1653,1
1158,2
506,2
816,1
1605,2
1386,2
362,1
715,2
930,1
1614,1
1108,1
481,1
1652,2
156,2
1203,1
206,1
1313,2
1607,1
1612,2
235,2
592,1
1067,1
1485,2
1589,1
347,1
551,2
862,2
1546,1
52,2
225,1
1089,1
1516,2
1671,2
1559,1
1603,1
451,1
668,1
1212,2
1581,2
630,2
1247,2
1094,2
1243,1
1563,2
872,2
947,1
1373,1
203,1
490,1
643,2
1065,1
1169,2
1703,2
1727,2
164,2
672,1
977,2
1157,1
1202,2
238,1
378,1
544,1
1598,1
1637,1
319,1
747,1
1284,1
1408,2
1541,1
53,2
258,1
313,1
741,2
1211,1
1542,1
1617,1
1626,1
669,1
693,2
736,2
1271,2
1293,1
1551,2
1640,1
386,2
588,1
811,1
1015,1
1171,1
1553,1
1632,2
228,2
243,2
745,1
831,1
1594,2
1631,1
377,2
409,2
818,2
1159,2
1168,2
1250,2
1609,1
142,1
209,2
595,1
603,1
649,2
948,2
1024,2
1030,1
1569,2
1584,1
1615,2
314,2
707,1
733,1
758,1
1423,2
1491,1
1684,1
1685,1
63,2
201,1
214,2
310,1
563,1
1261,2
1439,2
1451,1
1622,1
415,1
497,1
537,1
1368,2
1509,1
1540,2
183,1
237,2
659,2
1032,1
1035,1
1095,1
1186,1
1214,2
1232,2
1554,1
1655,1
383,2
533,2
535,2
593,2
609,2
634,1
746,2
845,1
891,1
971,1
985,1
1044,1
1046,2
1102,1
1364,1
1749,1
9,2
122,1
269,1
303,2
324,2
438,1
456,1
478,1
857,1
941,2
978,1
1127,1
1245,2
1512,1
1692,2
76,1
163,1
353,1
510,1
597,1
964,1
1346,1
1480,2
1560,2
1579,1
1660,2
368,2
464,1
657,1
950,1
968,1
1256,1
1259,1
1468,1
1476,1
1720,2
11,2
40,1
208,1
279,1
435,1
512,1
560,2
666,1
790,1
825,2
917,2
922,2
926,1
986,1
989,1
1061,2
1197,1
1239,1
1330,2
1354,2
1367,2
1412,1
1430,1
1562,1
1638,1
222,2
288,2
485,1
547,1
753,1
946,1
959,1
988,1
1082,1
1233,1
1304,1
1361,1
1500,1
1591,1
1730,1
79,1
154,2
162,1
226,1
256,1
308,1
423,1
477,1
568,1
788,1
888,1
980,2
996,1
1056,2
1266,1
1417,1
1465,1
1508,1
1511,2
1691,1
1712,2
601,1
635,1
650,1
673,1
686,1
850,2
944,1
1020,2
1040,2
1328,1
1332,1
