ID,cluster
0,1
1,1
2,2
3,2
4,1
5,2
6,2
7,2
8,1
9,2
10,2
11,2
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,2
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,2
33,2
34,2
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,2
45,2
46,1
47,1
48,1
49,1
50,2
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,2
63,1
64,1
65,1
66,1
67,1
68,2
69,1
70,1
71,2
72,1
73,1
74,1
75,2
76,1
77,2
78,2
79,2
80,1
81,1
82,1
83,2
84,1
85,1
86,1
87,1
88,2
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,2
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,2
121,1
122,2
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,2
136,1
137,1
138,1
139,1
140,1
141,2
142,1
143,1
144,2
145,1
146,2
147,2
148,1
149,1
150,2
151,1
152,1
153,1
154,2
155,2
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,2
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,2
175,1
176,1
177,2
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,2
204,2
205,2
206,1
207,1
208,1
209,1
210,1
211,2
212,1
213,1
214,1
215,2
216,2
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,2
227,2
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,2
251,1
252,1
253,1
254,1
255,1
256,2
257,1
258,1
259,1
260,2
261,1
262,1
263,2
264,1
265,1
266,2
267,1
268,1
269,2
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,2
285,2
286,1
289,1
290,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
301,2
302,1
303,1
304,1
305,2
306,1
307,1
308,2
309,1
310,1
311,1
312,1
313,1
314,1
315,2
316,2
317,1
318,2
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,2
344,2
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,2
354,1
355,1
356,1
357,2
358,1
359,1
360,1
361,1
362,1
363,2
364,1
365,1
366,2
367,2
368,2
369,2
370,2
371,1
372,1
373,1
374,1
375,2
376,1
377,1
378,2
379,1
380,1
381,1
382,2
383,2
384,1
385,2
386,1
387,1
388,1
389,2
390,1
391,1
392,2
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,2
402,1
403,2
