Id,Label,timeset
0,0,
1,1,
2,2,
3,3,
4,4,
5,5,
6,6,
7,7,
8,8,
9,9,
10,10,
11,11,
12,12,
13,13,
14,14,
15,15,
16,16,
17,17,
18,18,
19,19,
20,20,
21,21,
22,22,
23,23,
24,24,
25,25,
26,26,
27,27,
28,28,
29,29,
30,30,
31,31,
32,32,
33,33,
34,34,
35,35,
36,36,
37,37,
38,38,
39,39,
40,40,
41,41,
42,42,
43,43,
44,44,
45,45,
46,46,
47,47,
48,48,
49,49,
50,50,
51,51,
52,52,
53,53,
54,54,
55,55,
56,56,
57,57,
58,58,
59,59,
60,60,
61,61,
62,62,
63,63,
64,64,
65,65,
66,66,
67,67,
68,68,
69,69,
70,70,
71,71,
72,72,
73,73,
74,74,
75,75,
76,76,
77,77,
78,78,
79,79,
80,80,
81,81,
82,82,
83,83,
84,84,
85,85,
86,86,
87,87,
88,88,
89,89,
90,90,
91,91,
92,92,
93,93,
94,94,
95,95,
96,96,
97,97,
98,98,
99,99,
100,100,
101,101,
102,102,
103,103,
104,104,
105,105,
106,106,
107,107,
108,108,
109,109,
110,110,
111,111,
112,112,
113,113,
114,114,
115,115,
116,116,
117,117,
118,118,
119,119,
120,120,
121,121,
122,122,
123,123,
124,124,
125,125,
126,126,
127,127,
128,128,
129,129,
130,130,
131,131,
132,132,
133,133,
134,134,
135,135,
136,136,
137,137,
138,138,
139,139,
140,140,
141,141,
142,142,
143,143,
144,144,
145,145,
146,146,
147,147,
148,148,
149,149,
150,150,
151,151,
152,152,
153,153,
154,154,
155,155,
156,156,
157,157,
158,158,
159,159,
160,160,
161,161,
162,162,
163,163,
164,164,
165,165,
166,166,
167,167,
168,168,
169,169,
170,170,
171,171,
172,172,
173,173,
174,174,
175,175,
176,176,
177,177,
178,178,
179,179,
180,180,
181,181,
182,182,
183,183,
184,184,
185,185,
186,186,
187,187,
188,188,
189,189,
190,190,
191,191,
192,192,
193,193,
194,194,
195,195,
196,196,
197,197,
198,198,
199,199,
200,200,
201,201,
202,202,
203,203,
204,204,
205,205,
206,206,
207,207,
208,208,
209,209,
210,210,
211,211,
212,212,
213,213,
214,214,
215,215,
216,216,
217,217,
218,218,
219,219,
220,220,
221,221,
222,222,
223,223,
224,224,
225,225,
226,226,
227,227,
228,228,
229,229,
230,230,
231,231,
232,232,
233,233,
234,234,
235,235,
236,236,
237,237,
238,238,
239,239,
240,240,
241,241,
242,242,
243,243,
244,244,
245,245,
246,246,
247,247,
248,248,
249,249,
250,250,
251,251,
252,252,
253,253,
254,254,
255,255,
256,256,
257,257,
258,258,
259,259,
260,260,
261,261,
262,262,
263,263,
264,264,
265,265,
266,266,
267,267,
268,268,
269,269,
270,270,
271,271,
272,272,
273,273,
274,274,
275,275,
276,276,
277,277,
278,278,
279,279,
280,280,
281,281,
282,282,
283,283,
284,284,
285,285,
286,286,
287,287,
288,288,
289,289,
290,290,
291,291,
292,292,
293,293,
294,294,
295,295,
296,296,
297,297,
298,298,
299,299,
300,300,
301,301,
302,302,
303,303,
304,304,
305,305,
306,306,
307,307,
308,308,
309,309,
310,310,
311,311,
312,312,
313,313,
314,314,
315,315,
316,316,
317,317,
318,318,
319,319,
320,320,
321,321,
322,322,
323,323,
324,324,
325,325,
326,326,
327,327,
328,328,
329,329,
330,330,
331,331,
332,332,
333,333,
334,334,
335,335,
336,336,
337,337,
338,338,
339,339,
340,340,
341,341,
342,342,
343,343,
344,344,
345,345,
346,346,
347,347,
348,348,
349,349,
350,350,
351,351,
352,352,
353,353,
354,354,
355,355,
356,356,
357,357,
358,358,
359,359,
360,360,
361,361,
362,362,
363,363,
364,364,
365,365,
366,366,
367,367,
368,368,
369,369,
370,370,
371,371,
372,372,
373,373,
374,374,
375,375,
376,376,
377,377,
378,378,
379,391,
380,394,
381,399,
382,417,
383,420,
384,423,
385,430,
386,434,
387,438,
388,441,
389,445,
390,446,
391,454,
392,459,
393,475,
394,477,
395,481,
396,484,
397,490,
398,499,
399,523,
400,540,
401,547,
402,551,
403,553,
404,554,
405,555,
406,556,
407,567,
408,568,
409,569,
410,571,
411,572,
412,573,
413,575,
414,581,
415,587,
416,588,
417,590,
418,591,
419,597,
420,599,
421,600,
422,606,
423,607,
424,608,
425,609,
426,610,
427,612,
428,613,
429,624,
430,628,
431,629,
432,631,
433,633,
434,634,
435,635,
436,636,
437,637,
438,638,
439,639,
440,640,
441,641,
442,642,
443,643,
444,644,
445,648,
446,652,
447,656,
448,659,
449,661,
450,670,
451,673,
452,677,
453,678,
454,682,
455,689,
456,696,
457,702,
458,703,
459,704,
460,707,
461,716,
462,717,
463,724,
464,734,
465,736,
466,737,
467,740,
468,745,
469,746,
470,749,
471,752,
472,754,
473,756,
474,758,
475,759,
476,762,
477,764,
478,769,
479,771,
480,778,
481,780,
482,781,
483,782,
484,784,
485,785,
486,786,
487,800,
488,803,
489,804,
490,809,
491,810,
492,833,
493,836,
494,843,
495,847,
496,871,
497,872,
498,874,
499,899,
500,903,
501,904,
502,922,
503,928,
504,930,
505,931,
506,933,
507,936,
508,938,
509,940,
510,941,
511,943,
512,944,
513,959,
514,997,
515,998,
516,1029,
517,1032,
518,1037,
519,1050,
520,1053,
521,1057,
522,1058,
523,1059,
524,1060,
525,1061,
526,1062,
527,1063,
528,1064,
529,1065,
530,1066,
531,1067,
532,1068,
533,1069,
534,1070,
535,1071,
536,1072,
537,1073,
538,1074,
539,1075,
540,1076,
541,1077,
542,1078,
543,1079,
544,1080,
545,1081,
546,1082,
547,1083,
548,1084,
549,1085,
550,1086,
551,1087,
552,1088,
553,1089,
554,1090,
555,1091,
556,1092,
557,1093,
558,1094,
559,1095,
560,1096,
561,1097,
562,1098,
563,1099,
564,1100,
565,1101,
566,1102,
567,1103,
568,1104,
569,1105,
570,1106,
571,1107,
572,1108,
573,1109,
574,1110,
575,1111,
576,1112,
577,1113,
578,1114,
579,1115,
580,1116,
581,1117,
582,1118,
583,1119,
584,1120,
585,1121,
586,1122,
587,1123,
588,1124,
589,1125,
590,1126,
591,1127,
592,1128,
593,1129,
594,1130,
595,1131,
596,1132,
597,1133,
598,1134,
599,1135,
600,1136,
601,1137,
602,1138,
603,1139,
604,1140,
605,1141,
606,1142,
607,1143,
608,1144,
609,1145,
610,1146,
611,1147,
612,1148,
613,1149,
614,1150,
615,1151,
616,1152,
617,1153,
618,1154,
619,1155,
620,1156,
621,1157,
622,1158,
623,1159,
624,1160,
625,1161,
626,1162,
627,1163,
628,1164,
629,1165,
630,1166,
631,1167,
632,1168,
633,1169,
634,1170,
635,1171,
636,1172,
637,1173,
638,1174,
639,1175,
640,1176,
641,1177,
642,1178,
643,1179,
644,1180,
645,1181,
646,1182,
647,1183,
648,1184,
649,1185,
650,1186,
651,1187,
652,1188,
653,1189,
654,1190,
655,1191,
656,1192,
657,1193,
658,1194,
659,1195,
660,1196,
661,1197,
662,1198,
663,1199,
664,1200,
665,1201,
666,1202,
667,1203,
668,1204,
669,1205,
670,1206,
671,1207,
672,1208,
673,1209,
674,1210,
675,1211,
676,1212,
677,1213,
678,1214,
679,1215,
680,1216,
681,1217,
682,1218,
683,1219,
684,1220,
685,1221,
686,1222,
687,1223,
688,1224,
689,1225,
690,1226,
691,1227,
692,1228,
693,1229,
694,1230,
695,1231,
696,1232,
697,1233,
698,1234,
699,1235,
700,1236,
701,1237,
702,1238,
703,1239,
704,1240,
705,1241,
706,1242,
707,1243,
708,1244,
709,1245,
710,1246,
711,1247,
712,1248,
713,1249,
714,1250,
715,1251,
716,1252,
717,1253,
718,1254,
719,1255,
720,1256,
721,1257,
722,1258,
723,1259,
724,1260,
725,1261,
726,1262,
727,1263,
728,1264,
729,1265,
730,1266,
731,1267,
732,1268,
733,1269,
734,1270,
735,1271,
736,1272,
737,1273,
738,1274,
739,1275,
740,1276,
741,1277,
742,1278,
743,1279,
744,1280,
745,1281,
746,1282,
747,1283,
748,1284,
749,1285,
750,1286,
751,1287,
752,1288,
753,1289,
754,1290,
755,1291,
756,1292,
757,1293,
758,1294,
759,1295,
760,1296,
761,1297,
762,1298,
763,1299,
764,1300,
765,1301,
766,1302,
767,1303,
768,1304,
769,1305,
770,1306,
771,1307,
772,1308,
773,1309,
774,1310,
775,1311,
776,1312,
777,1313,
778,1314,
779,1315,
780,1316,
781,1317,
782,1318,
783,1319,
784,1320,
785,1321,
786,1322,
787,1323,
788,1324,
789,1325,
790,1326,
791,1327,
792,1328,
793,1329,
794,1330,
795,1331,
796,1332,
797,1333,
798,1334,
799,1335,
800,1336,
801,1337,
802,1338,
