0,1,2
0,2,2
0,3,2
0,4,1
0,5,2
0,6,2
0,7,1
0,8,1
0,9,2
0,10,2
0,11,2
0,12,2
0,13,2
0,14,1
0,15,1
0,16,2
0,17,2
0,18,2
0,19,2
0,20,1
0,21,1
0,22,1
0,23,1
0,24,1
0,25,1
0,26,2
0,27,1
0,28,2
0,29,2
0,30,2
0,31,2
0,32,1
0,33,1
0,34,1
0,35,1
0,36,2
0,37,2
0,38,1
0,39,2
0,40,2
0,41,2
0,42,1
0,43,2
0,44,1
0,45,1
0,46,2
0,47,1
0,48,1
0,49,1
0,50,1
0,51,2
0,52,1
0,53,2
0,54,1
0,55,1
0,56,2
0,57,2
0,58,2
0,59,1
0,60,1
0,61,1
0,62,2
0,63,2
0,64,2
0,65,1
0,66,1
0,67,1
0,68,2
0,69,2
0,70,2
0,71,2
0,72,1
0,73,1
0,74,1
0,75,2
0,76,2
0,77,2
0,78,2
0,79,2
0,80,1
0,81,1
0,82,2
0,83,2
0,84,1
0,85,2
0,86,1
0,87,2
0,88,2
0,89,2
0,90,1
0,91,1
0,92,2
0,93,2
0,94,1
0,95,1
0,96,2
0,97,2
0,98,2
0,99,1
0,100,2
0,101,1
0,102,2
0,103,1
0,104,2
0,105,1
0,106,1
0,107,1
0,108,2
0,109,2
0,110,1
0,111,1
0,112,1
0,113,1
0,114,2
0,115,2
0,116,2
0,117,2
0,118,2
0,119,2
0,120,1
0,121,1
0,122,2
0,123,2
0,124,1
0,125,1
0,126,2
0,127,2
0,128,1
0,129,2
0,130,2
0,131,1
0,132,1
0,133,2
0,134,2
0,135,2
0,136,2
0,137,2
0,138,2
0,139,2
0,140,2
0,141,1
0,142,2
0,143,2
0,144,1
0,145,1
0,146,1
0,147,2
0,148,2
0,149,2
0,150,2
0,151,1
0,152,2
0,153,2
0,154,1
0,155,2
0,156,2
0,157,2
0,158,1
0,159,1
0,160,2
0,161,2
0,162,2
0,163,1
0,164,1
0,165,2
0,166,1
0,167,2
0,168,1
0,169,2
0,170,1
0,171,1
0,172,1
0,173,2
0,174,2
0,175,2
0,176,2
0,177,2
0,178,1
0,179,2
0,180,2
0,181,1
0,182,1
0,183,2
0,184,2
0,185,1
0,186,1
0,187,1
0,188,2
0,189,2
0,190,2
0,191,2
0,192,1
0,193,2
0,194,2
0,195,2
0,196,1
0,197,2
0,198,2
0,199,1
0,200,2
0,201,2
0,202,1
0,203,2
0,204,2
0,205,1
0,206,2
0,207,2
0,208,2
0,209,1
0,210,1
0,211,2
0,212,1
0,213,2
0,214,1
0,215,1
0,216,2
0,217,1
0,218,2
0,219,2
0,220,2
0,221,2
0,222,1
0,223,1
0,224,2
0,225,2
0,226,2
0,227,1
0,228,2
0,229,2
0,230,1
0,231,1
0,232,1
0,233,1
0,234,1
0,235,1
0,236,2
0,237,1
0,238,1
0,239,2
0,240,1
0,241,2
0,242,2
0,243,1
0,244,1
0,245,1
0,246,2
0,247,1
0,248,1
0,249,2
0,250,2
0,251,1
0,252,2
0,253,2
0,254,1
0,255,1
0,256,1
0,257,1
0,258,1
0,259,1
0,260,1
0,261,2
0,262,1
0,263,2
0,264,1
0,265,1
0,266,1
0,267,1
0,268,2
0,269,1
0,270,1
0,271,1
0,272,1
0,273,1
0,274,2
0,275,2
0,276,1
0,277,1
0,278,1
0,279,2
0,280,1
0,281,1
0,282,2
0,283,2
0,284,1
0,285,1
0,286,1
0,287,2
0,288,2
0,289,2
0,290,1
0,291,2
0,292,2
0,293,2
0,294,2
0,295,2
0,296,1
0,297,1
0,298,2
0,299,1
0,300,2
0,301,2
0,302,2
0,303,1
0,304,2
0,305,2
0,306,1
0,307,2
0,308,1
0,309,2
0,310,2
0,311,2
0,312,2
0,313,2
0,314,2
0,315,1
0,316,2
0,317,2
0,318,1
0,319,2
0,320,1
0,321,1
0,322,2
0,323,1
0,324,1
0,325,1
0,326,1
0,327,2
0,328,2
0,329,1
0,330,1
0,331,2
0,332,1
0,333,2
0,334,1
0,335,1
0,336,2
0,337,1
0,338,1
0,339,2
0,340,1
0,341,2
0,342,2
0,343,2
0,344,2
0,345,1
0,346,2
0,347,1
0,348,1
0,349,2
0,350,1
0,351,1
0,352,2
0,353,2
0,354,2
0,355,2
0,356,2
0,357,2
0,358,1
0,359,2
0,360,2
0,361,1
0,362,2
0,363,1
0,364,2
0,365,1
0,366,1
0,367,1
0,368,2
0,369,2
0,370,2
0,371,2
0,372,1
0,373,1
0,374,1
0,375,1
0,376,2
0,377,1
0,378,2
1,1,2
1,2,2
1,3,2
1,4,1
1,5,2
1,6,2
1,7,1
1,8,1
1,9,2
1,10,2
1,12,2
1,16,2
1,18,2
1,19,2
1,20,1
1,21,1
1,22,1
1,23,1
1,25,1
1,26,2
1,28,2
1,30,2
1,31,2
1,32,1
1,33,1
1,34,1
1,35,1
1,37,2
1,38,1
1,39,2
1,41,2
1,42,1
1,44,1
1,45,1
1,47,1
1,48,1
1,49,1
1,51,2
1,52,1
1,56,2
1,57,2
1,59,1
1,60,1
1,61,1
1,62,2
1,63,2
1,66,1
1,67,1
1,69,2
1,70,2
1,71,2
1,72,1
1,73,1
1,74,1
1,75,2
1,76,2
1,77,2
1,78,2
1,79,2
1,80,1
1,82,2
1,83,2
1,84,1
1,85,2
1,86,1
1,87,2
1,88,2
1,89,2
1,90,1
1,92,2
1,93,2
1,94,1
1,101,1
1,102,2
1,105,1
1,106,1
1,108,2
1,109,2
1,118,2
1,121,1
1,122,2
1,123,2
1,124,1
1,126,2
1,131,1
1,134,2
1,135,2
1,137,2
1,138,2
1,139,2
1,140,2
1,141,1
1,146,1
1,148,2
1,150,2
1,151,1
1,167,2
1,168,1
1,170,1
1,171,1
1,173,2
1,174,2
1,176,2
1,180,2
1,182,1
1,183,2
1,187,1
1,188,2
1,189,2
1,190,2
1,193,2
1,195,2
1,196,1
1,198,2
1,199,1
1,200,2
1,203,2
1,207,2
1,208,2
1,212,1
1,214,1
1,215,1
1,216,2
1,220,2
1,221,2
1,223,1
1,224,2
1,229,2
1,232,1
1,234,1
1,235,1
1,236,2
1,238,1
1,242,2
1,246,2
1,247,1
1,249,2
1,251,1
1,254,1
1,258,1
1,263,2
1,266,1
1,267,1
1,270,1
1,272,1
1,273,1
1,274,2
1,275,2
1,276,1
1,281,1
1,282,2
1,288,2
1,289,2
1,293,2
1,294,2
1,296,1
1,299,1
1,302,2
1,304,2
1,305,2
1,307,2
1,308,1
1,309,2
1,310,2
1,311,2
1,314,2
1,315,1
1,317,2
1,318,1
1,320,1
1,323,1
1,324,1
1,328,2
1,331,2
1,334,1
1,339,2
1,343,2
1,344,2
1,346,2
1,347,1
1,348,1
1,349,2
1,350,1
1,351,1
1,352,2
1,356,2
1,358,1
1,368,2
1,369,2
1,372,1
1,373,1
1,374,1
1,379,2
1,380,1
1,381,2
1,382,2
1,383,2
1,384,2
1,385,1
1,386,1
1,387,1
1,388,1
1,389,1
1,390,1
1,391,1
1,392,1
1,393,1
1,394,2
1,395,2
1,396,2
1,397,2
1,398,1
1,399,2
1,400,2
1,401,2
1,402,1
1,403,1
1,404,2
1,405,2
1,406,1
1,407,1
1,408,1
1,409,2
1,410,1
1,411,1
1,412,1
1,413,2
1,414,2
1,415,2
1,416,2
1,417,2
1,418,1
1,419,2
1,420,1
1,421,1
1,422,1
1,423,2
1,424,2
1,425,2
1,426,1
1,427,2
1,428,2
1,429,2
1,430,2
1,431,1
1,432,2
1,433,2
1,434,2
1,435,2
1,436,2
1,437,1
1,438,2
1,439,2
1,440,2
1,441,1
1,442,1
1,443,1
1,444,2
1,445,2
1,446,2
1,447,2
1,448,1
1,449,2
1,450,1
1,451,2
1,452,2
1,453,1
1,454,1
1,455,2
1,456,1
1,457,2
1,458,2
1,459,2
1,460,2
1,461,1
1,462,1
1,463,1
1,464,2
1,465,2
1,466,2
1,467,2
1,468,2
1,469,1
1,470,1
1,471,1
1,472,2
1,473,1
1,474,2
1,475,2
1,476,1
1,477,2
1,478,2
1,479,2
1,480,2
1,481,2
1,482,1
1,483,1
1,484,1
1,485,2
1,486,1
1,487,1
1,488,1
1,489,2
1,490,2
1,491,1
1,492,1
1,493,1
1,494,2
1,495,1
1,496,2
1,497,2
1,498,2
1,499,2
1,500,2
1,501,2
1,502,2
1,503,2
1,504,2
1,505,1
1,506,1
1,507,2
1,508,2
1,509,2
1,510,1
1,511,2
1,512,2
1,513,1
1,514,2
1,515,2
1,516,1
1,517,2
1,518,2
1,519,1
1,520,2
1,521,1
1,522,2
1,523,2
1,524,1
1,525,2
1,526,1
1,527,2
1,528,1
1,529,1
1,530,1
1,531,1
1,532,2
1,533,1
1,534,2
1,535,2
1,536,2
1,537,1
1,538,2
1,539,1
1,540,2
1,541,2
1,542,2
1,543,2
1,544,2
1,545,1
1,546,2
1,547,2
1,548,2
1,549,2
1,550,1
1,551,2
1,552,2
1,553,1
1,554,1
1,555,1
1,556,2
1,557,2
1,558,1
1,559,2
1,560,2
1,561,1
1,562,1
1,563,1
1,564,1
1,565,2
1,566,2
1,567,1
1,568,2
1,569,2
1,570,2
1,571,2
1,572,2
1,573,2
1,574,1
1,575,2
1,576,1
1,577,2
1,578,1
1,579,2
1,580,1
1,581,1
1,582,2
1,583,2
1,584,2
1,585,1
1,586,2
1,587,1
1,588,2
1,589,1
1,590,1
1,591,1
1,592,2
1,593,1
1,594,1
1,595,2
1,596,1
1,597,2
1,598,1
1,599,1
1,600,2
1,601,2
1,602,2
1,603,1
1,604,2
1,605,1
1,606,1
1,607,2
1,608,2
1,609,1
1,610,2
1,611,2
1,612,2
1,613,1
1,614,2
1,615,2
1,616,1
1,617,2
1,618,2
1,619,2
1,620,2
1,621,1
1,622,2
1,623,1
1,624,2
1,625,1
1,626,1
1,627,2
1,628,2
1,629,2
1,630,2
1,631,1
1,632,1
1,633,2
1,634,2
1,635,2
1,636,2
1,637,2
1,638,2
1,639,2
1,640,2
1,641,2
1,642,2
1,643,1
1,644,2
1,645,2
1,646,2
1,647,1
1,648,2
1,649,1
1,650,2
1,651,2
1,652,2
1,653,1
1,654,2
1,655,1
1,656,2
1,657,1
1,658,1
1,659,2
1,660,2
1,661,2
1,662,2
1,663,1
1,664,2
1,665,2
1,666,1
1,667,2
1,668,1
1,669,2
1,670,2
1,671,2
1,672,2
1,673,1
1,674,2
1,675,1
1,676,1
1,677,2
1,678,1
1,679,2
1,680,2
1,681,1
1,682,1
1,683,2
1,684,2
1,685,1
1,686,2
1,687,2
1,688,1
1,689,1
1,690,1
1,691,2
1,692,1
1,693,2
1,694,1
1,695,2
1,696,2
1,697,1
1,698,1
1,699,2
1,700,2
1,701,2
1,702,2
1,703,1
1,704,2
1,705,2
1,706,1
1,707,2
1,708,2
1,709,2
1,710,1
1,711,2
1,712,2
1,713,1
1,714,2
1,715,1
1,716,2
1,717,2
1,718,2
1,719,2
1,720,1
1,721,2
1,722,2
1,723,2
1,724,2
1,725,2
1,726,1
1,727,2
1,728,2
1,729,1
1,730,1
1,731,1
1,732,2
1,733,2
1,734,1
1,735,2
1,736,2
1,737,2
1,738,1
1,739,2
1,740,2
1,741,1
1,742,2
1,743,1
1,744,1
1,745,2
1,746,2
1,747,2
1,748,2
1,749,1
1,750,2
1,751,1
1,752,2
1,753,2
1,754,2
1,755,2
1,756,2
1,757,2
1,758,2
1,759,1
1,760,1
1,761,2
1,762,2
1,763,2
1,764,1
1,765,2
1,766,2
1,767,1
1,768,2
1,769,2
1,770,2
1,771,1
1,772,1
1,773,1
1,774,2
1,775,2
1,776,1
1,777,1
1,778,2
1,779,2
1,780,2
1,781,1
1,782,1
1,783,1
1,784,2
1,785,2
1,786,2
1,787,2
1,788,2
1,789,2
1,790,2
1,791,2
1,792,1
1,793,1
1,794,2
1,795,1
1,796,1
1,797,1
1,798,2
1,799,1
1,800,2
1,801,1
1,802,2
1,803,1
1,804,1
1,805,1
1,806,2
1,807,2
1,808,1
1,809,2
1,810,2
1,811,2
1,812,1
1,813,2
1,814,2
1,815,1
1,816,2
1,817,2
1,818,2
1,819,2
1,820,2
1,821,1
1,822,2
1,823,2
1,824,2
1,825,2
1,826,2
1,827,2
1,828,2
1,829,1
1,830,1
1,831,2
1,832,1
1,833,1
1,834,2
1,835,1
1,836,2
1,837,2
1,838,2
1,839,2
1,840,2
1,841,2
1,842,1
1,843,2
1,844,2
1,845,2
1,846,1
1,847,1
1,848,2
1,849,2
1,850,1
1,851,2
1,852,2
1,853,2
1,854,1
1,855,1
1,856,2
1,857,1
1,858,1
1,859,1
1,860,2
1,861,1
1,862,1
1,863,1
1,864,2
1,865,2
1,866,1
1,867,1
1,868,1
1,869,2
1,870,2
1,871,2
1,872,2
1,873,1
1,874,1
1,875,2
1,876,2
1,877,2
1,878,2
1,879,2
1,880,2
1,881,2
1,882,2
1,883,1
1,884,1
1,885,2
1,886,2
1,887,1
1,888,2
1,889,2
1,890,1
1,891,1
1,892,1
1,893,2
1,894,1
1,895,1
1,896,2
1,897,1
1,898,2
1,899,1
1,900,1
1,901,1
1,902,2
1,903,2
1,904,2
1,905,1
1,906,1
1,907,1
1,908,2
1,909,2
1,910,2
1,911,1
1,912,2
1,913,2
1,914,1
1,915,2
1,916,2
1,917,1
1,918,2
1,919,1
1,920,1
1,921,2
1,922,1
1,923,1
1,924,2
1,925,1
1,926,2
1,927,1
1,928,1
1,929,1
1,930,2
1,931,1
1,932,1
1,933,1
1,934,2
1,935,2
1,936,2
1,937,1
1,938,1
1,939,1
1,940,1
1,941,2
1,942,2
1,943,2
1,944,1
1,945,2
1,946,1
1,947,2
1,948,2
1,949,2
1,950,2
1,951,1
1,952,2
1,953,2
1,954,1
1,955,2
1,956,2
1,957,1
1,958,2
1,959,2
1,960,2
1,961,2
1,962,1
1,963,1
1,964,1
1,965,2
1,966,2
1,967,1
1,968,1
1,969,2
1,970,2
1,971,1
1,972,2
1,973,2
1,974,2
1,975,2
1,976,2
1,977,1
1,978,2
1,979,1
1,980,1
1,981,2
1,982,1
1,983,2
1,984,1
1,985,2
1,986,2
1,987,2
1,988,1
1,989,2
1,990,2
1,991,1
1,992,2
1,993,2
1,994,2
1,995,1
1,996,2
1,997,2
1,998,1
1,999,2
1,1000,2
1,1001,2
1,1002,2
1,1003,1
1,1004,1
1,1005,1
1,1006,2
1,1007,1
1,1008,1
1,1009,2
1,1010,1
1,1011,2
1,1012,2
1,1013,2
1,1014,1
1,1015,2
1,1016,2
1,1017,1
1,1018,1
1,1019,1
1,1020,1
1,1021,1
1,1022,1
1,1023,2
1,1024,2
1,1025,2
1,1026,1
1,1027,2
1,1028,1
1,1029,2
1,1030,2
1,1031,1
1,1032,2
1,1033,2
1,1034,2
1,1035,2
1,1036,1
1,1037,1
1,1038,1
1,1039,1
1,1040,2
1,1041,2
1,1042,2
1,1043,2
1,1044,2
1,1045,2
1,1046,2
1,1047,2
1,1048,2
1,1049,2
1,1050,1
1,1051,2
1,1052,2
1,1053,1
1,1054,2
1,1055,2
1,1056,1
1,1057,1
1,1058,2
1,1059,2
1,1060,1
1,1061,2
1,1062,2
1,1063,1
1,1064,1
1,1065,1
1,1066,2
1,1067,1
1,1068,2
1,1069,1
1,1070,1
1,1071,1
1,1072,1
1,1073,1
1,1074,2
1,1075,2
1,1076,2
1,1077,2
1,1078,1
1,1079,2
1,1080,2
1,1081,1
1,1082,2
1,1083,1
1,1084,2
1,1085,2
1,1086,1
1,1087,2
1,1088,2
1,1089,2
1,1090,2
1,1091,1
1,1092,2
1,1093,1
1,1094,1
1,1095,2
1,1096,1
1,1097,2
1,1098,1
1,1099,2
1,1100,1
1,1101,2
1,1102,1
1,1103,2
1,1104,2
1,1105,1
1,1106,2
1,1107,1
1,1108,1
1,1109,2
1,1110,1
1,1111,2
1,1112,1
1,1113,2
1,1114,2
1,1115,2
1,1116,1
1,1117,2
1,1118,2
1,1119,2
1,1120,1
1,1121,2
1,1122,2
1,1123,1
1,1124,1
1,1125,2
1,1126,1
1,1127,1
1,1128,2
1,1129,2
1,1130,2
1,1131,2
1,1132,1
1,1133,2
1,1134,2
1,1135,2
1,1136,2
1,1137,2
1,1138,2
1,1139,2
1,1140,2
1,1141,1
1,1142,2
1,1143,1
1,1144,2
1,1145,1
1,1146,2
1,1147,2
1,1148,1
1,1149,2
1,1150,2
1,1151,1
1,1152,2
1,1153,2
1,1154,2
1,1155,1
1,1156,2
1,1157,1
1,1158,2
1,1159,1
1,1160,2
1,1161,2
1,1162,1
1,1163,1
1,1164,2
1,1165,2
1,1166,2
1,1167,2
1,1168,1
1,1169,1
1,1170,2
1,1171,2
1,1172,2
1,1173,1
1,1174,1
1,1175,2
