Label,anomalous,neighbor,clustering,degree,closeness,betweenness,community,density,in,out,bi
3,1,178,0.049007,0.093783,0.460791,0.040971,1,0.277992,0.189815,0.810185,0.175926
9,1,241,0.025795,0.126976,0.461807,0.064649,1,0.659091,0.182759,0.817241,0.168966
10,1,2,,0.001054,0.315757,0.00105,1,0.002113,0.666667,0.333333,0.333333
12,1,142,0.050345,0.074816,0.441277,0.018466,1,0.972067,0.189655,0.810345,0.183908
32,1,207,0.051358,0.109062,0.476508,0.052021,1,53.166667,0.429467,0.570533,0.351097
36,1,89,0.054137,0.046891,0.423539,0.014937,1,0.133508,0.156863,0.843137,0.127451
38,1,39,0.008097,0.020548,0.35931,0.001337,1,0.201878,0.139535,0.860465,0.093023
41,1,183,0.032487,0.096417,0.443352,0.033643,1,0.210099,0.236052,0.763948,0.214592
42,1,177,0.036595,0.093256,0.448625,0.044027,1,0.205128,0.428571,0.571429,0.367857
47,1,8,,0.004215,0.311224,0.000125,1,0.041152,0.5,0.5,0.2
53,1,66,0.041026,0.034773,0.395392,0.010035,1,0.154786,0.131579,0.868421,0.131579
63,1,82,0.033424,0.043203,0.416064,0.009512,1,0.107644,0.514493,0.485507,0.405797
65,1,5,,0.002634,0.33571,0.000029,1,0.011547,1,0,0
67,1,156,0.034326,0.082192,0.438711,0.027844,1,0.488263,0.298077,0.701923,0.25
76,1,5,,0.002634,0.345868,0.001102,1,0.012324,0.714286,0.285714,0.285714
103,1,255,0.016396,0.134352,0.448732,0.048104,1,1.400826,0.312684,0.687316,0.247788
104,1,8,,0.004215,0.342913,0.00004,1,0.02611,0.5,0.5,0.2
105,1,227,0.041792,0.1196,0.475907,0.059218,1,0.965625,0.291262,0.708738,0.265372
122,1,5,,0.002634,0.315757,0.000105,1,0.005903,1,0,0
128,1,85,0.059664,0.044784,0.414966,0.009973,1,0.236207,0.481752,0.518248,0.379562
144,1,91,0.042002,0.047945,0.425546,0.019131,1,12.545455,0.456522,0.543478,0.34058
176,1,121,0.045317,0.063751,0.427475,0.019678,1,0.493827,0.28125,0.71875,0.24375
194,1,160,0.05794,0.084299,0.444187,0.023734,1,1.722628,0.411017,0.588983,0.322034
212,1,83,0.064943,0.04373,0.410182,0.007009,1,0.561983,0.463235,0.536765,0.389706
249,1,172,0.038352,0.090622,0.448198,0.030816,1,4.274194,0.366038,0.633962,0.350943
266,1,74,0.075528,0.038988,0.397559,0.011031,1,0.108071,0.139241,0.860759,0.063291
277,1,105,0.04707,0.055321,0.418186,0.009586,1,0.146293,0.417808,0.582192,0.280822
297,1,84,0.061102,0.044257,0.409026,0.005232,1,2.653846,0.5,0.5,0.391304
308,1,106,0.079964,0.055848,0.435068,0.011806,1,0.351064,0.490909,0.509091,0.357576
321,1,117,0.047598,0.061644,0.408849,0.01342,1,0.270378,0.227941,0.772059,0.139706
323,1,104,0.049104,0.054795,0.422969,0.014053,1,9,0.372549,0.627451,0.320261
325,1,89,0.075587,0.046891,0.415514,0.007956,1,0.100724,0.503268,0.496732,0.418301
326,1,7,,0.003688,0.316978,0.000047,1,0.030691,0.583333,0.416667,0.416667
357,1,143,0.020191,0.075342,0.420986,0.013279,1,0.200918,0.228571,0.771429,0.182857
