ID,cluster
0,1
1,1
2,1
3,1
4,1
5,2
6,1
7,1
8,1
9,1
10,1
540,2
581,1
1009,1
1356,1
1544,1
2044,2
2045,1
2046,1
2047,2
2048,1
671,1
1063,2
1159,2
1562,1
1572,2
2004,1
2034,1
2035,1
2036,2
2037,1
92,1
95,1
96,1
350,2
530,2
703,1
751,1
822,2
823,1
837,2
237,1
430,2
1164,1
1574,2
2038,1
2039,1
2040,1
2041,1
2042,1
2043,1
11,1
12,1
13,1
14,2
15,1
16,1
17,1
18,1
19,1
20,1
1373,2
2049,1
2050,1
2051,1
2052,1
177,2
2355,1
2356,1
347,1
589,1
1459,1
1557,1
1571,2
2060,1
2061,1
2062,1
2063,2
2064,1
90,1
356,1
531,1
1436,1
1909,1
1910,1
1911,1
1912,1
1913,1
21,2
22,2
23,1
24,1
25,1
26,1
27,2
28,1
29,1
30,2
31,2
534,1
752,1
824,1
1237,1
1643,2
2091,1
2092,1
2093,2
564,1
707,1
1042,1
1073,1
1309,2
1365,2
1656,1
270,2
1765,1
1975,1
2053,1
2054,1
2055,1
2056,2
2057,1
2058,1
2059,1
32,1
33,1
34,2
35,2
36,1
37,2
38,1
39,1
40,1
41,2
42,2
510,1
1169,1
1446,1
2094,1
2095,1
2096,1
2097,1
2098,1
2099,1
2100,1
1447,1
2065,2
2066,1
2067,2
2068,1
2069,1
2070,1
2071,1
2072,1
2073,1
43,2
44,1
45,1
46,2
47,1
48,1
49,2
50,1
51,1
52,1
53,2
1029,1
1625,1
1720,1
2015,1
2074,1
2075,1
2076,1
2077,1
2078,2
1058,2
1322,2
1902,1
2079,1
2080,2
2081,1
2082,1
2083,1
2084,1
78,2
176,1
563,1
567,2
750,2
1236,1
352,1
825,1
1821,1
54,2
55,1
56,2
57,2
58,1
59,1
60,1
61,1
62,1
63,1
249,2
1284,1
1464,1
1697,1
2085,1
2086,1
2087,1
2088,1
2089,1
2090,1
180,1
696,1
1095,1
2159,1
2160,1
2161,2
2162,2
2163,1
2164,1
625,1
938,1
1401,1
2128,1
5456,1
5457,1
5458,1
5459,2
5460,1
5461,1
64,1
65,1
66,2
67,2
68,1
69,1
70,2
71,1
72,1
73,1
74,1
75,1
76,1
219,1
923,2
1155,1
2357,1
2358,1
1716,1
646,1
1936,1
2101,1
2102,1
2103,1
2104,1
2105,1
2106,1
2107,1
2108,1
405,2
590,2
656,1
657,2
964,1
1409,1
1866,1
1867,1
1868,1
351,1
387,1
565,1
649,2
705,2
1074,1
295,2
2109,1
2110,2
2111,1
2112,2
2113,1
2114,1
2115,1
2116,2
2117,2
77,2
79,1
80,1
81,1
82,1
83,1
84,2
85,2
86,1
159,1
284,1
2588,2
2673,1
5183,1
5310,1
5311,2
300,2
611,1
737,1
1411,1
2118,1
2119,1
2120,2
2121,1
2122,1
2123,1
88,1
226,1
353,1
354,2
1041,1
87,1
89,1
91,1
93,2
94,1
205,1
256,1
1799,1
2138,1
2139,1
2140,1
2141,1
2142,1
2143,1
1150,2
2416,2
3012,1
3671,1
4185,1
4186,1
4187,1
4188,2
4189,1
349,1
1389,1
3151,1
355,1
679,1
836,1
150,1
708,1
1126,1
2144,1
1364,1
1965,2
2131,1
2132,1
2133,1
2134,1
2135,1
2136,1
2137,1
421,1
1722,1
2124,1
2125,1
2126,1
2127,1
2129,1
2130,1
532,1
826,1
97,1
98,2
99,1
100,1
101,2
102,1
103,1
104,1
105,2
106,1
107,1
108,1
109,1
110,1
111,1
112,2
113,1
114,1
115,1
116,2
117,1
533,1
157,2
622,1
774,1
775,1
776,1
777,1
778,2
779,1
433,1
644,2
645,2
647,1
648,1
650,2
651,2
652,1
195,1
273,2
764,1
1138,1
1654,1
1919,1
2145,1
2146,1
2147,1
2148,2
118,1
119,1
120,1
121,1
122,1
123,1
124,2
125,1
126,1
127,2
128,1
1021,1
1274,1
1347,1
1801,1
2168,1
2169,1
2170,2
2171,1
2172,1
636,1
668,1
766,1
966,1
1317,1
2149,1
2150,2
2151,1
2152,2
706,1
1558,1
2158,2
161,2
1012,1
6354,1
6712,2
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
492,1
819,1
868,1
1520,2
2153,2
2154,2
2155,1
2156,1
2157,1
2407,1
2408,1
1369,1
522,2
960,1
961,1
962,1
963,2
140,1
141,2
142,1
143,1
144,1
145,2
146,1
147,1
148,1
149,1
753,1
151,1
152,2
153,1
154,1
155,1
156,1
158,1
245,1
215,1
435,2
700,1
1479,1
1647,1
2165,2
2166,1
2167,1
1067,1
1417,1
1692,1
1778,2
2173,1
2174,2
2175,1
2176,1
2177,2
160,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,2
757,1
2180,1
2181,1
2182,1
2183,1
640,1
2215,2
170,1
171,1
172,2
173,1
174,1
175,1
178,1
179,1
929,1
2184,2
2185,1
2186,2
2187,1
2188,1
2189,1
2190,1
2191,1
242,1
328,2
572,1
2664,2
3337,1
3950,1
6843,2
7251,1
7252,1
241,2
694,1
1639,1
2192,1
2193,1
2194,1
2195,1
2196,1
2197,1
654,2
740,1
741,2
742,1
743,1
744,1
745,1
746,1
747,1
748,1
181,2
182,1
183,1
184,1
185,1
186,1
187,1
188,2
189,2
190,1
191,1
192,1
193,1
194,1
527,2
1972,1
2204,1
2205,2
2206,1
2207,1
2208,1
2209,2
2210,1
2211,1
632,1
1014,1
1330,1
2198,1
2199,1
2200,2
2201,1
2202,2
2203,2
780,1
781,1
782,1
783,2
784,1
785,1
786,1
787,1
788,1
789,1
196,2
197,1
198,1
199,2
200,1
201,1
345,1
692,1
1991,1
1992,1
1993,1
2212,2
2213,1
2214,1
202,1
203,1
204,1
206,1
207,1
208,2
209,1
210,1
211,1
212,2
213,1
214,1
1869,2
723,2
1189,2
1539,1
1553,1
2216,1
2217,1
2218,1
2219,1
2220,1
2221,1
1704,1
1767,1
2245,2
2246,1
2247,1
2248,2
2249,1
2250,1
2251,1
388,1
811,1
1331,1
1523,1
1561,1
1894,1
2222,1
2223,1
2224,2
2225,1
2226,2
2227,1
2228,1
2229,1
2230,2
2231,1
2232,1
216,1
217,1
218,1
220,1
221,1
222,2
223,1
224,1
2303,2
239,1
1543,1
1729,2
2252,1
2253,1
2254,1
2255,1
2256,1
225,1
227,1
228,1
229,1
230,1
231,1
232,2
233,1
234,1
670,1
1090,2
1098,2
2233,2
2234,1
2235,1
2236,1
2237,1
2238,1
327,1
1873,1
2239,2
2240,1
